                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.9339,                 1.4052,                 1.7621,                 1.7642,                0.58225,                0.18333,                0.09432,                0.02668,                0.57966,                0.21667,                0.05335,                0.01741,                 2.3551,                 3.7686,                 4.3172,                 2.0939,              0.0014492,              0.0014492,              0.0014492
                     68,                 1.8808,                 1.3049,                 1.6397,                  1.697,                0.07354,                0.18333,                0.11733,                0.03815,                0.66266,                   0.25,                0.15894,                0.04092,                 2.4604,                 2.0793,                  3.024,                 1.9754,              0.0014459,              0.0014459,              0.0014459
                     69,                 1.9161,                 1.4302,                 1.5695,                 1.6589,                0.09447,                0.26667,                0.10665,                0.03301,                 0.6443,                    0.2,                0.15354,                0.05511,                  2.412,                 2.2101,                 2.8642,                 2.0725,              0.0014426,              0.0014426,              0.0014426
                     70,                 1.8227,                 1.5061,                 1.5591,                 1.6416,                0.07338,                0.08333,                0.02958,                 0.0081,                0.60793,                0.06667,                0.05073,                0.01859,                  2.678,                 5.7315,                 3.7542,                 2.2582,              0.0014393,              0.0014393,              0.0014393
                     71,                 1.8282,                 1.5253,                 1.5479,                 1.6485,                 0.5534,                    0.2,                0.05998,                0.02641,                0.57581,                0.26667,                0.08139,                0.03925,                 2.5565,                 2.8615,                 3.3654,                 2.0109,               0.001436,               0.001436,               0.001436
                     72,                 1.8802,                 1.4381,                 1.5753,                 1.6923,                0.62463,                0.26667,                0.21755,                0.07035,                0.65342,                0.30993,                0.29176,                0.12594,                 2.1488,                 1.6951,                 2.3227,                  1.971,              0.0014327,              0.0014327,              0.0014327
                     73,                 1.7939,                  1.431,                 1.5543,                 1.6489,                0.15004,                0.93333,                0.25763,                0.10776,                 0.7151,                0.26667,                0.31291,                0.13387,                 2.2106,                 1.9594,                 2.5358,                 2.0034,              0.0014294,              0.0014294,              0.0014294
                     74,                 1.7568,                 1.3526,                 1.4945,                 1.6285,                0.18586,                0.91667,                0.37129,                0.19094,                0.19951,                   0.95,                0.31405,                0.15682,                 2.2142,                 1.8879,                 2.1267,                 1.9398,              0.0014261,              0.0014261,              0.0014261
                     75,                 1.8163,                 1.3838,                 1.4607,                 1.6576,                0.19557,                    0.9,                0.61475,                0.29435,                0.29607,                    0.9,                0.63574,                0.26984,                 2.2515,                 1.4493,                 2.0463,                 1.9863,              0.0014228,              0.0014228,              0.0014228
                     76,                 1.8866,                 1.4523,                  1.509,                  1.649,                0.61639,                   0.25,                0.18355,                0.05198,                0.66022,                0.31667,                 0.2393,                0.09144,                 2.2678,                 1.5097,                 2.1859,                 1.9892,              0.0014195,              0.0014195,              0.0014195
                     77,                 1.9391,                 1.3702,                 1.5479,                 1.6663,                0.59377,                0.26667,                0.14403,                0.03467,                0.61263,                    0.3,                0.16951,                0.06869,                 2.2857,                 1.6233,                 4.2197,                 1.9961,              0.0014161,              0.0014161,              0.0014161
                     78,                 1.8166,                 1.4283,                 1.5529,                 1.7626,                0.21603,                0.77042,                0.40091,                0.10825,                0.21603,                0.77042,                0.40217,                0.08562,                 2.2629,                 1.8288,                 2.0581,                 2.0117,              0.0014128,              0.0014128,              0.0014128
                     79,                 1.8068,                 1.4604,                 1.4516,                 1.6353,                0.59335,                    0.1,                0.06789,                0.02303,                0.59335,                    0.1,                0.07065,                0.02646,                 2.6895,                 2.8275,                 3.3329,                 1.8615,              0.0014095,              0.0014095,              0.0014095
                     80,                 1.7611,                  1.542,                 1.4744,                 1.6204,                0.09654,                0.18333,                0.07972,                0.01532,                0.12261,                0.21667,                0.13634,                0.03418,                 2.8165,                  3.026,                 3.2708,                 2.1487,              0.0014062,              0.0014062,              0.0014062
                     81,                 1.7891,                 1.3352,                 1.5066,                 1.7326,                0.46417,                0.93333,                0.69263,                0.32829,                0.46417,                0.93333,                 0.7043,                0.34079,                  2.162,                 1.4199,                 1.7659,                 1.9846,              0.0014029,              0.0014029,              0.0014029
                     82,                 1.7975,                 1.5722,                 1.4827,                 1.7199,                0.41029,                0.86667,                0.62411,                0.29731,                0.41597,                    0.9,                0.64614,                0.34911,                 2.4111,                 2.1232,                  2.137,                 2.2082,              0.0013996,              0.0013996,              0.0013996
                     83,                 1.7966,                 1.4078,                 1.5203,                 1.6591,                0.56315,                0.71667,                0.64153,                0.23997,                 0.5504,                   0.75,                0.64095,                0.40644,                 2.2536,                 1.9964,                 2.2697,                 2.0453,              0.0013963,              0.0013963,              0.0013963
                     84,                 1.8021,                 1.3297,                 1.4381,                 1.6399,                0.51688,                0.66667,                0.70292,                0.32643,                0.57126,                    0.7,                0.74809,                0.46965,                 2.1869,                  1.608,                 1.8808,                 1.9646,               0.001393,               0.001393,               0.001393
                     85,                 1.8019,                 1.3533,                 1.4501,                  1.647,                0.53621,                    0.8,                0.64653,                0.21922,                0.54334,                0.81667,                0.69749,                0.38112,                 2.4025,                 1.5729,                 1.9181,                 2.0844,              0.0013897,              0.0013897,              0.0013897
                     86,                 1.7608,                  1.355,                  1.443,                 1.7069,                0.65591,                    0.3,                0.17643,                0.05167,                0.26413,                0.91667,                0.72137,                0.28536,                 2.4057,                 1.6449,                 2.1163,                 2.1301,              0.0013864,              0.0013864,              0.0013864
                     87,                 1.7262,                 1.3705,                 1.3867,                 1.6356,                0.66519,                   0.25,                0.17972,                0.04342,                 0.2101,                   0.85,                0.44374,                0.12536,                 2.3695,                  2.083,                 2.1208,                 2.1659,              0.0013831,              0.0013831,              0.0013831
                     88,                  1.782,                 1.3666,                 1.4574,                 1.6521,                0.56376,                0.66667,                0.67021,                0.14421,                0.59717,                    0.7,                0.64407,                0.32014,                 2.5438,                 3.1357,                  2.142,                 2.2776,              0.0013798,              0.0013798,              0.0013798
                     89,                 1.7088,                 1.3227,                 1.3675,                 1.5677,                0.41105,                   0.85,                0.66319,                0.33241,                0.41105,                   0.85,                0.68407,                0.40219,                 2.3474,                 1.6696,                  2.305,                 2.0766,              0.0013765,              0.0013765,              0.0013765
                     90,                 1.7214,                 1.6077,                 1.3982,                 1.6067,                0.31873,                0.86667,                0.69212,                0.30241,                0.31873,                0.86667,                 0.7281,                0.30359,                  2.186,                 1.5268,                 1.9572,                 1.9152,              0.0013732,              0.0013732,              0.0013732
                     91,                 1.7818,                 1.3303,                 1.3661,                  1.658,                0.66963,                0.23333,                0.29984,                0.09626,                0.41449,                0.93333,                0.75761,                0.20752,                 2.3071,                 1.4022,                 1.8256,                 2.0488,              0.0013699,              0.0013699,              0.0013699
                     92,                 1.7932,                 1.3255,                  1.441,                 1.6577,                0.52265,                    0.8,                0.67816,                0.22279,                0.53857,                0.83333,                0.71473,                0.18909,                 2.1041,                 1.6013,                 1.8886,                 1.9477,              0.0013666,              0.0013666,              0.0013666
                     93,                 1.7725,                 1.3429,                 1.3801,                 1.6389,                0.45352,                0.78333,                 0.7064,                0.52686,                0.47635,                0.81667,                0.74342,                0.40346,                 2.1041,                 1.6675,                 2.2416,                 1.9493,              0.0013633,              0.0013633,              0.0013633
